Country of League,League,Date of Collection,Team,Standing
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Altyn Asyr,4.0
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Energetik,5.0
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Nebitci,6.0
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Merw,7.0
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Sagadam,8.0
,,,,
Turkmenistan,Turkmenistan Youth League,2020-04-24,Altyn Asyr U21,1.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,Nebitci U21,2.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,Ahal U21,3.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,Kopetdag Asgabat U21,4.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,Merw U21,5.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,Sagadam U21,6.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,Energetik U21,7.0
Turkmenistan,Turkmenistan Youth League,2020-04-24,FC Asgabat U21,8.0
,,,,
