Country of League,League,Date of Collection,Team,Standing
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Brest 2,14.0
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Slavia Mozyr 2,15.0
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,FK Gorodeja 2,16.0
,,,,
Europe,Europe UEFA Nations League,2020-04-24,Poland,1.0
Europe,Europe UEFA Nations League,2020-04-24,Netherlands,2.0
Europe,Europe UEFA Nations League,2020-04-24,Italy,3.0
Europe,Europe UEFA Nations League,2020-04-24,Bosnia & Herzegovina,4.0
Europe,Europe UEFA Nations League,2020-04-24,Belgium,1.0
Europe,Europe UEFA Nations League,2020-04-24,Iceland,2.0
Europe,Europe UEFA Nations League,2020-04-24,Denmark,3.0
Europe,Europe UEFA Nations League,2020-04-24,England,4.0
Europe,Europe UEFA Nations League,2020-04-24,Sweden,1.0
Europe,Europe UEFA Nations League,2020-04-24,France,2.0
Europe,Europe UEFA Nations League,2020-04-24,Portugal,3.0
Europe,Europe UEFA Nations League,2020-04-24,Croatia,4.0
Europe,Europe UEFA Nations League,2020-04-24,Germany,1.0
Europe,Europe UEFA Nations League,2020-04-24,Switzerland,2.0
Europe,Europe UEFA Nations League,2020-04-24,Spain,3.0
Europe,Europe UEFA Nations League,2020-04-24,Ukraine,4.0
Europe,Europe UEFA Nations League,2020-04-24,Austria,1.0
Europe,Europe UEFA Nations League,2020-04-24,Romania,2.0
Europe,Europe UEFA Nations League,2020-04-24,Northern Ireland,3.0
Europe,Europe UEFA Nations League,2020-04-24,Norway,4.0
Europe,Europe UEFA Nations League,2020-04-24,Czech Republic,1.0
Europe,Europe UEFA Nations League,2020-04-24,Scotland,2.0
Europe,Europe UEFA Nations League,2020-04-24,Slovakia,3.0
Europe,Europe UEFA Nations League,2020-04-24,Israel,4.0
Europe,Europe UEFA Nations League,2020-04-24,Russia,1.0
Europe,Europe UEFA Nations League,2020-04-24,Turkey,2.0
Europe,Europe UEFA Nations League,2020-04-24,Hungary,3.0
Europe,Europe UEFA Nations League,2020-04-24,Serbia,4.0
Europe,Europe UEFA Nations League,2020-04-24,Bulgaria,1.0
Europe,Europe UEFA Nations League,2020-04-24,Ireland,2.0
Europe,Europe UEFA Nations League,2020-04-24,Wales,3.0
Europe,Europe UEFA Nations League,2020-04-24,Finland,4.0
Europe,Europe UEFA Nations League,2020-04-24,Montenegro,1.0
Europe,Europe UEFA Nations League,2020-04-24,Luxembourg,2.0
Europe,Europe UEFA Nations League,2020-04-24,Cyprus,3.0
Europe,Europe UEFA Nations League,2020-04-24,Azerbaijan,4.0
Europe,Europe UEFA Nations League,2020-04-24,Estonia,1.0
Europe,Europe UEFA Nations League,2020-04-24,North Macedonia,2.0
Europe,Europe UEFA Nations League,2020-04-24,Armenia,3.0
Europe,Europe UEFA Nations League,2020-04-24,Georgia,4.0
Europe,Europe UEFA Nations League,2020-04-24,Greece,1.0
Europe,Europe UEFA Nations League,2020-04-24,Slovenia,2.0
Europe,Europe UEFA Nations League,2020-04-24,Moldova,3.0
Europe,Europe UEFA Nations League,2020-04-24,Kosovo,4.0
Europe,Europe UEFA Nations League,2020-04-24,Albania,1.0
Europe,Europe UEFA Nations League,2020-04-24,Belarus,2.0
Europe,Europe UEFA Nations League,2020-04-24,Lithuania,3.0
Europe,Europe UEFA Nations League,2020-04-24,Kazakhstan,4.0
Europe,Europe UEFA Nations League,2020-04-24,Latvia,1.0
Europe,Europe UEFA Nations League,2020-04-24,Andorra,2.0
Europe,Europe UEFA Nations League,2020-04-24,Malta,3.0
Europe,Europe UEFA Nations League,2020-04-24,Faroe Islands,4.0
Europe,Europe UEFA Nations League,2020-04-24,San Marino,1.0
Europe,Europe UEFA Nations League,2020-04-24,Liechtenstein,2.0
Europe,Europe UEFA Nations League,2020-04-24,Gibraltar,3.0
,,,,
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ferretti,1.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Diriangen,2.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Esteli,3.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Managua FC,4.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Juventus Managua,5.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Sabanas,6.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Chinandega,7.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ocotal,8.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Real Madriz,9.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Jalapa,10.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Managua FC,1.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Esteli,2.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Diriangen,3.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ferretti,4.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Jalapa,5.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Juventus Managua,6.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Chinandega,7.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Real Madriz,8.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ocotal,9.0
Nicaragua,Nicaragua Liga Primera,2020-04-24,Sabanas,10.0
,,,,
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Managua FC U20,1.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Esteli U20,2.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Juventus Managua U20,3.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Ferretti U20,4.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Jalapa U20,5.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Real Madriz U20,6.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Ocotal U20,7.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Diriangen U20,8.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Chinandega U20,9.0
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Sabanas U20,10.0
,,,,
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taichung Blue W,1.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taipei Bear W,2.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Hualien W,3.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,New Taipei W,4.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taoyuan W,5.0
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Kaohsiung W,6.0
,,,,
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Istiqlol Dushanbe,1.0
