Country of League,League,Date of Collection,Team,Standing
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,FK Gorodeja 2,16.
,,,,
Europe,Europe UEFA Nations League,2020-04-24,Poland,1.
Europe,Europe UEFA Nations League,2020-04-24,Netherlands,2.
Europe,Europe UEFA Nations League,2020-04-24,Italy,3.
Europe,Europe UEFA Nations League,2020-04-24,Bosnia & Herzegovina,4.
Europe,Europe UEFA Nations League,2020-04-24,Belgium,1.
Europe,Europe UEFA Nations League,2020-04-24,Iceland,2.
Europe,Europe UEFA Nations League,2020-04-24,Denmark,3.
Europe,Europe UEFA Nations League,2020-04-24,England,4.
Europe,Europe UEFA Nations League,2020-04-24,Sweden,1.
Europe,Europe UEFA Nations League,2020-04-24,France,2.
Europe,Europe UEFA Nations League,2020-04-24,Portugal,3.
Europe,Europe UEFA Nations League,2020-04-24,Croatia,4.
Europe,Europe UEFA Nations League,2020-04-24,Germany,1.
Europe,Europe UEFA Nations League,2020-04-24,Switzerland,2.
Europe,Europe UEFA Nations League,2020-04-24,Spain,3.
Europe,Europe UEFA Nations League,2020-04-24,Ukraine,4.
,,,,
Europe,Europe UEFA Nations League,2020-04-24,Latvia,1.
Europe,Europe UEFA Nations League,2020-04-24,Andorra,2.
Europe,Europe UEFA Nations League,2020-04-24,Malta,3.
Europe,Europe UEFA Nations League,2020-04-24,Faroe Islands,4.
Europe,Europe UEFA Nations League,2020-04-24,San Marino,1.
Europe,Europe UEFA Nations League,2020-04-24,Liechtenstein,2.
Europe,Europe UEFA Nations League,2020-04-24,Gibraltar,3.
,,,,
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ferretti,1.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Diriangen,2.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Esteli,3.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Managua FC,4.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Juventus Managua,5.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Sabanas,6.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Chinandega,7.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ocotal,8.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Real Madriz,9.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Jalapa,10.
,,,,
Nicaragua,Nicaragua Liga Primera,2020-04-24,Managua FC,1.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Esteli,2.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Diriangen,3.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ferretti,4.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Jalapa,5.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Juventus Managua,6.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Chinandega,7.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Real Madriz,8.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Ocotal,9.
Nicaragua,Nicaragua Liga Primera,2020-04-24,Sabanas,10.
,,,,
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Managua FC U20,1.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Esteli U20,2.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Juventus Managua U20,3.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Ferretti U20,4.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Jalapa U20,5.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Real Madriz U20,6.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Ocotal U20,7.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Diriangen U20,8.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Chinandega U20,9.
Nicaragua,Nicaragua Liga Primera U20,2020-04-24,Sabanas U20,10.
,,,,
Taiwan,Taiwan Premier League,2020-04-24,Taipower,1.
Taiwan,Taiwan Premier League,2020-04-24,Hang Yuen,2.
Taiwan,Taiwan Premier League,2020-04-24,Taichung,3.
Taiwan,Taiwan Premier League,2020-04-24,Taipei Tatung,4.
Taiwan,Taiwan Premier League,2020-04-24,Taiwan Steel,5.
Taiwan,Taiwan Premier League,2020-04-24,NTUS,6.
Taiwan,Taiwan Premier League,2020-04-24,Ming Chuan University,7.
Taiwan,Taiwan Premier League,2020-04-24,Red Lions,8.
,,,,
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taichung Blue W,1.
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taipei Bear W,2.
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Hualien W,3.
Taiwan,Taiwan Mulan Football League Women,2020-04-24,New Taipei W,4.
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Taoyuan W,5.
Taiwan,Taiwan Mulan Football League Women,2020-04-24,Kaohsiung W,6.
,,,,
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Istiqlol Dushanbe,1.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Khatlon,2.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Faizkand,3.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Kuktosh,4.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Regar-TadAZ,5.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Khujand,6.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Lokomotiv Pamir,7.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,CSKA Pomir Dushanbe,8.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Dushanbe 83,9.
Tajikistan,Tajikistan Vysshaya Liga,2020-04-24,Istaravshan,10.
,,,,
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Ahal,1.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Kopetdag Asgabat,2.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,FC Asgabat,3.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Altyn Asyr,4.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Energetik,5.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Nebitci,6.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Merw,7.
Turkmenistan,Turkmenistan Yokary Liga 2020,2020-04-24,Sagadam,8.
,,,,
Turkmenistan,Turkmenistan Youth League,2020-04-24,Altyn Asyr U21,1.
Turkmenistan,Turkmenistan Youth League,2020-04-24,Nebitci U21,2.
Turkmenistan,Turkmenistan Youth League,2020-04-24,Ahal U21,3.
Turkmenistan,Turkmenistan Youth League,2020-04-24,Kopetdag Asgabat U21,4.
Turkmenistan,Turkmenistan Youth League,2020-04-24,Merw U21,5.
Turkmenistan,Turkmenistan Youth League,2020-04-24,Sagadam U21,6.
Turkmenistan,Turkmenistan Youth League,2020-04-24,Energetik U21,7.
Turkmenistan,Turkmenistan Youth League,2020-04-24,FC Asgabat U21,8.
,,,,
