Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
Europe,Euro 2020,2021-06-18,2021-01-04,13:14,Croatia,Czech Republic,2.06,4.04,3.45
Europe,Euro 2020,2021-06-18,2021-01-04,13:14,England,Scotland,1.40,8.90,5.15
Europe,Euro 2020,2021-06-19,2021-01-04,13:14,Hungary,France,7.25,1.48,4.80
Europe,Euro 2020,2021-06-19,2021-01-04,13:14,Portugal,Germany,3.77,2.05,3.70
Europe,Euro 2020,2021-06-19,2021-01-04,13:14,Spain,Poland,1.57,6.30,4.40
Europe,Euro 2020,2021-06-20,2021-01-04,13:14,Italy,Wales,1.57,6.72,4.20
Europe,Euro 2020,2021-06-20,2021-01-04,13:14,Switzerland,Turkey,2.48,3.01,3.46
Europe,Euro 2020,2021-06-21,2021-01-04,13:14,North Macedonia,Netherlands,17.13,1.23,6.70
Europe,Euro 2020,2021-06-21,2021-01-04,13:14,Ukraine,Austria,2.49,3.08,3.36
Europe,Euro 2020,2021-06-21,2021-01-04,13:14,Finland,Belgium,11.63,1.29,6.05
Europe,Euro 2020,2021-06-21,2021-01-04,13:14,Russia,Denmark,3.89,2.11,3.42
Europe,Euro 2020,2021-06-22,2021-01-04,13:14,Croatia,Scotland,2.16,3.73,3.42
Europe,Euro 2020,2021-06-22,2021-01-04,13:14,Czech Republic,England,8.20,1.40,5.25
Europe,Euro 2020,2021-06-23,2021-01-04,13:14,Slovakia,Spain,14.38,1.25,6.65
Europe,Euro 2020,2021-06-23,2021-01-04,13:14,Sweden,Poland,2.81,2.67,3.40
Europe,Euro 2020,2021-06-23,2021-01-04,13:14,Germany,Hungary,1.13,27.00,10.00
Europe,Euro 2020,2021-06-23,2021-01-04,13:14,Portugal,France,3.79,2.19,3.30
,,,,,,,,,
France,Ligue 1,2021-01-06,2021-01-04,13:14,Brest,Nice,2.24,3.09,3.64
France,Ligue 1,2021-01-06,2021-01-04,13:14,Lorient,Monaco,4.44,1.77,3.95
France,Ligue 1,2021-01-06,2021-01-04,13:14,Metz,Bordeaux,2.66,2.87,3.14
France,Ligue 1,2021-01-06,2021-01-04,13:14,Nantes,Rennes,3.61,2.12,3.42
France,Ligue 1,2021-01-06,2021-01-04,13:14,Strasbourg,Nimes,1.59,5.90,4.07
France,Ligue 1,2021-01-06,2021-01-04,13:14,Lille,Angers,1.61,5.90,3.97
France,Ligue 1,2021-01-06,2021-01-04,13:14,Lyon,Lens,1.46,6.69,4.84
France,Ligue 1,2021-01-06,2021-01-04,13:14,Marseille,Montpellier,2.07,3.72,3.45
France,Ligue 1,2021-01-06,2021-01-04,13:14,Reims,Dijon,1.85,4.38,3.65
France,Ligue 1,2021-01-06,2021-01-04,13:14,St Etienne,Paris SG,7.50,1.41,5.10
France,Ligue 1,2021-01-09,2021-01-04,13:14,Bordeaux,Lorient,2.07,3.60,3.41
France,Ligue 1,2021-01-09,2021-01-04,13:14,Dijon,Marseille,3.73,2.03,3.43
France,Ligue 1,2021-01-09,2021-01-04,13:14,Lens,Strasbourg,2.21,3.39,3.28
France,Ligue 1,2021-01-09,2021-01-04,13:14,Metz,Nice,2.52,2.87,3.23
France,Ligue 1,2021-01-09,2021-01-04,13:14,Monaco,Angers,1.66,4.99,4.05
France,Ligue 1,2021-01-09,2021-01-04,13:14,Montpellier,Nantes,2.10,3.55,3.41
France,Ligue 1,2021-01-09,2021-01-04,13:14,Nimes,Lille,6.41,1.55,4.02
France,Ligue 1,2021-01-09,2021-01-04,13:14,Paris SG,Brest,1.16,16.11,8.02
France,Ligue 1,2021-01-09,2021-01-04,13:14,Reims,St Etienne,2.58,2.88,3.13
France,Ligue 1,2021-01-09,2021-01-04,13:14,Rennes,Lyon,3.18,2.31,3.29
,,,,,,,,,
Germany,Bundesliga,2021-01-08,2021-01-04,13:14,B. Monchengladbach,Bayern Munich,4.79,1.63,4.63
Germany,Bundesliga,2021-01-09,2021-01-04,13:14,Bayer Leverkusen,Werder Bremen,1.48,6.72,4.64
Germany,Bundesliga,2021-01-09,2021-01-04,13:14,Freiburg,FC Koln,1.96,3.89,3.62
Germany,Bundesliga,2021-01-09,2021-01-04,13:14,Mainz,Eintracht Frankfurt,3.62,1.95,3.90
Germany,Bundesliga,2021-01-09,2021-01-04,13:14,Schalke,Hoffenheim,3.97,1.87,3.92
Germany,Bundesliga,2021-01-09,2021-01-04,13:14,Union Berlin,Wolfsburg,2.74,2.65,3.33
Germany,Bundesliga,2021-01-09,2021-01-04,13:14,RB Leipzig,Dortmund,2.35,3.02,3.51
Germany,Bundesliga,2021-01-10,2021-01-04,13:14,Augsburg,Stuttgart,3.39,2.09,3.73
Germany,Bundesliga,2021-01-10,2021-01-04,13:14,Arminia Bielefeld,Hertha Berlin,3.89,1.98,3.56
Germany,Bundesliga,2021-01-15,2021-01-04,13:14,Union Berlin,Bayer Leverkusen,4.08,1.95,3.48
Germany,Bundesliga,2021-01-16,2021-01-04,13:14,FC Koln,Hertha Berlin,3.15,2.31,3.37
Germany,Bundesliga,2021-01-16,2021-01-04,13:14,Dortmund,Mainz,1.24,11.48,6.48
Germany,Bundesliga,2021-01-16,2021-01-04,13:14,Hoffenheim,Arminia Bielefeld,1.58,5.47,4.30
Germany,Bundesliga,2021-01-16,2021-01-04,13:14,Werder Bremen,Augsburg,2.28,3.21,3.38
Germany,Bundesliga,2021-01-16,2021-01-04,13:14,Wolfsburg,RB Leipzig,3.46,2.06,3.65
Germany,Bundesliga,2021-01-16,2021-01-04,13:14,Stuttgart,B. Monchengladbach,2.74,2.41,3.75
Germany,Bundesliga,2021-01-17,2021-01-04,13:14,Bayern Munich,Freiburg,1.22,11.44,7.09
Germany,Bundesliga,2021-01-17,2021-01-04,13:14,Eintracht Frankfurt,Schalke,1.50,6.10,4.56
,,,,,,,,,
Italy,Serie A,2021-01-06,2021-01-04,13:14,Cagliari,Benevento,2.48,3.02,3.30
Italy,Serie A,2021-01-06,2021-01-04,13:14,Atalanta,Parma,1.30,9.53,5.95
Italy,Serie A,2021-01-06,2021-01-04,13:14,Bologna,Udinese,2.74,2.74,3.22
Italy,Serie A,2021-01-06,2021-01-04,13:14,Crotone,AS Roma,6.98,1.44,4.93
Italy,Serie A,2021-01-06,2021-01-04,13:14,Lazio,Fiorentina,1.83,4.23,3.86
Italy,Serie A,2021-01-06,2021-01-04,13:14,Sampdoria,Inter,5.92,1.57,4.23
Italy,Serie A,2021-01-06,2021-01-04,13:14,Sassuolo,Genoa,1.85,4.44,3.66
Italy,Serie A,2021-01-06,2021-01-04,13:14,Torino,Verona,2.57,2.84,3.35
Italy,Serie A,2021-01-06,2021-01-04,13:14,Napoli,Spezia,1.21,13.77,7.10
Italy,Serie A,2021-01-06,2021-01-04,13:14,AC Milan,Juventus,3.21,2.34,3.36
Italy,Serie A,2021-01-09,2021-01-04,13:14,Benevento,Atalanta,5.50,1.64,4.46
Italy,Serie A,2021-01-09,2021-01-04,13:14,Genoa,Bologna,2.74,2.80,3.40
Italy,Serie A,2021-01-09,2021-01-04,13:14,AC Milan,Torino,1.56,5.80,4.98
Italy,Serie A,2021-01-10,2021-01-04,13:14,AS Roma,Inter,3.22,2.29,3.74
Italy,Serie A,2021-01-10,2021-01-04,13:14,Parma,Lazio,4.66,1.81,4.04
Italy,Serie A,2021-01-10,2021-01-04,13:14,Udinese,Napoli,4.46,1.82,4.14
