Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
Europe,UEFA Nations League,2020-09-05,2020-04-24,14:59,Azerbaijan,Luxembourg,1.82,4.96,3.38
Europe,UEFA Nations League,2020-09-05,2020-04-24,14:59,Cyprus,Montenegro,3.07,2.47,3.15
Europe,UEFA Nations League,2020-09-05,2020-04-24,14:59,Estonia,Georgia,4.54,1.86,3.48
Europe,UEFA Nations League,2020-09-05,2020-04-24,14:59,Denmark,Belgium,3.6,2.04,3.6
Europe,UEFA Nations League,2020-09-05,2020-04-24,14:59,Portugal,Croatia,1.91,4.3,3.44
Europe,UEFA Nations League,2020-09-05,2020-04-24,14:59,Sweden,France,5.05,1.74,3.64
,,,,,,,,,
Nicaragua,Liga Primera,2020-04-26,2020-04-24,14:59,Diriangen,Esteli,2.4,2.93,2.91
Nicaragua,Liga Primera,2020-04-27,2020-04-24,14:59,Ferretti,Managua FC,2.7,2.53,3.01
,,,,,,,,,
Nicaragua,Liga Primera U20,2020-04-25,2020-04-24,14:59,Real Madriz U20,Managua FC U20,4.67,1.58,3.8
,,,,,,,,,
Taiwan,Premier League,2020-04-26,2020-04-24,14:59,Hang Yuen,NTUS,1.45,5.22,4.5
Taiwan,Premier League,2020-04-26,2020-04-24,14:59,Ming Chuan University,Taipower,13.56,1.1,8.25
Taiwan,Premier League,2020-04-26,2020-04-24,14:59,Taichung,Taipei Tatung,2.81,2.1,3.76
Taiwan,Premier League,2020-04-26,2020-04-24,14:59,Taiwan Steel,Red Lions,1.06,15.7,11.07
,,,,,,,,,
Taiwan,Mulan Football League Women,2020-04-25,2020-04-24,14:59,Kaohsiung W,Taoyuan W,3.53,1.69,4.33
Taiwan,Mulan Football League Women,2020-04-25,2020-04-24,14:59,Hualien W,New Taipei W,1.11,13.58,7.74
Taiwan,Mulan Football League Women,2020-04-25,2020-04-24,14:59,Taichung Blue W,Taipei Bear W,1.12,11.55,7.73
,,,,,,,,,
Tajikistan,Vysshaya Liga,2020-04-25,2020-04-24,14:59,Faizkand,Istaravshan,1.77,3.69,3.89
Tajikistan,Vysshaya Liga,2020-04-25,2020-04-24,14:59,Istiqlol Dushanbe,Kuktosh,1.16,11.64,6.87
Tajikistan,Vysshaya Liga,2020-04-26,2020-04-24,14:59,Dushanbe 83,CSKA Pomir Dushanbe,3.25,1.87,3.93
Tajikistan,Vysshaya Liga,2020-04-26,2020-04-24,14:59,Khujand,Regar-TadAZ,1.6,4.5,3.98
Tajikistan,Vysshaya Liga,2020-04-26,2020-04-24,14:59,Lokomotiv Pamir,Khatlon,3.39,1.86,3.81
,,,,,,,,,
Turkmenistan,Yokary Liga 2020,2020-04-25,2020-04-24,14:59,Kopetdag Asgabat,Ahal,2.84,2.18,3.32
Turkmenistan,Yokary Liga 2020,2020-04-25,2020-04-24,14:59,Energetik,Altyn Asyr,6.53,1.41,4.14
Turkmenistan,Yokary Liga 2020,2020-04-26,2020-04-24,14:59,FC Asgabat,Nebitci,1.79,3.93,3.34
Turkmenistan,Yokary Liga 2020,2020-04-26,2020-04-24,14:59,Sagadam,Merw,1.42,6.26,4.02
,,,,,,,,,
Turkmenistan,Youth League,2020-04-24,2020-04-24,14:59,Energetik U21,Altyn Asyr U21,5.15,1.5,4.13
Turkmenistan,Youth League,2020-04-24,2020-04-24,14:59,Kopetdag Asgabat U21,Ahal U21,1.84,2.99,3.98
Turkmenistan,Youth League,2020-04-25,2020-04-24,14:59,Sagadam U21,Merw U21,1.81,3.58,3.64
Turkmenistan,Youth League,2020-04-25,2020-04-24,14:59,FC Asgabat U21,Nebitci U21,4.56,1.54,4.03
,,,,,,,,,
Spain,LaLiga,2020-04-26,2020-04-24,15:34,Barcelona,Atl. Madrid,1.81,3.26,4.6
,,,,,,,,,
Belarus,Vysshaya Liga,2020-04-24,2020-04-24,15:34,Smolevichi,Din. Minsk,4.28,1.98,3.03
Belarus,Vysshaya Liga,2020-04-24,2020-04-24,15:34,Neman,Energetik-BGU,2.43,3.07,3.03
Belarus,Vysshaya Liga,2020-04-25,2020-04-24,15:34,Slavia Mozyr,FC Minsk,2.08,3.66,3.2
Belarus,Vysshaya Liga,2020-04-25,2020-04-24,15:34,Gorodeja,BATE,6.02,1.59,3.68
Belarus,Vysshaya Liga,2020-04-25,2020-04-24,15:34,Brest,Shakhtyor Soligorsk,2.36,2.94,3.28
Belarus,Vysshaya Liga,2020-04-26,2020-04-24,15:34,Slutsk,Belshina,1.76,4.61,3.56
Belarus,Vysshaya Liga,2020-04-26,2020-04-24,15:34,Zhodino,Rukh Brest,2.0,4.21,3.04
Belarus,Vysshaya Liga,2020-04-26,2020-04-24,15:34,Isloch Minsk,Vitebsk,2.02,3.91,3.16
,,,,,,,,,
Belarus,Pershaya Liga,2020-04-25,2020-04-24,15:34,FC Slonim,Orsha,2.33,2.72,3.23
Belarus,Pershaya Liga,2020-04-25,2020-04-24,15:34,Naftan,Lida,1.9,3.48,3.47
Belarus,Pershaya Liga,2020-04-25,2020-04-24,15:34,Smorgon,Volna Pinsk,2.4,2.7,3.18
Belarus,Pershaya Liga,2020-04-25,2020-04-24,15:34,Oshmyany,Sputnik,3.12,2.01,3.52
Belarus,Pershaya Liga,2020-04-26,2020-04-24,15:34,Mikashevichi,Arsenal Dzyarzhynsk,3.5,1.87,3.54
Belarus,Pershaya Liga,2020-04-26,2020-04-24,15:34,Chimik Svetlogorsk,Krumkachy,11.82,1.16,6.39
Belarus,Pershaya Liga,2020-04-26,2020-04-24,15:34,FC Gomel,Lokomotiv Gomel,1.92,3.63,3.27
,,,,,,,,,
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,15:34,Ostrovets,Kronon Stolbtsy,1.81,3.58,3.86
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,15:34,Baranovici,Brest Malorita,2.1,2.66,4.14
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,15:34,Stanles Pinsk,Chayka Zelva,1.17,11.87,6.62
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,15:34,BGU Minsk,Pershiy Region,2.1,2.85,3.72
,,,,,,,,,
Belarus,Division 2 - Group B,2020-04-25,2020-04-24,15:35,SMIavtotrans,Energetik-BGATU,1.83,3.46,3.84
Belarus,Division 2 - Group B,2020-04-25,2020-04-24,15:35,Dnepr Mogilev,Osipovichi,1.35,7.12,4.73
Belarus,Division 2 - Group B,2020-04-25,2020-04-24,15:35,Zhlobin,Polotsk,1.81,3.3,4.15
,,,,,,,,,
Belarus,Belarusian Cup,2020-04-29,2020-04-24,15:35,Shakhtyor Soligorsk,Brest,2.13,3.4,3.17
Belarus,Belarusian Cup,2020-04-29,2020-04-24,15:35,BATE,Slavia Mozyr,1.35,8.29,4.56
,,,,,,,,,
